game_pk,game_date,hitter_name
718469,2023-04-22,Adolis Garcia
718469,2023-04-22,Adolis Garcia
718470,2023-04-22,Rafael Devers
718470,2023-04-22,Yu Chang
718470,2023-04-22,Rowdy Tellez
718471,2023-04-22,Ozzie Albies
718471,2023-04-22,Kyle Tucker
718471,2023-04-22,Yordan Alvarez
718471,2023-04-22,Sean Murphy
718467,2023-04-23,Christian Walker
718467,2023-04-23,Fernando Tatis Jr.
718466,2023-04-23,Matt Thaiss
718466,2023-04-23,Hunter Renfroe
718466,2023-04-23,Mike Trout
718466,2023-04-23,Hunter Renfroe
718464,2023-04-23,Tommy Edman
718464,2023-04-23,Teoscar Hernandez
718464,2023-04-23,Jarred Kelenic
718458,2023-04-23,Brandon Marsh
718458,2023-04-23,Bryson Stott
718458,2023-04-23,Kody Clemens
